Designator,Footprint,Quantity,Value,LCSC Part #,
C1,603,1,4.7u,,Y
C10,603,1,10u,,Y
"C11, C13, C2, C4, C6, C8",603,6,100n,,Y
C12,1206,1,33n,,ordered
C14,1206,1,47u,,Y
"C15, C17, C19",CAPC1608X90 100nF,3,90n,,Y = 100n
"C16, C18, C20, C26",CAPC1608X90N 10nF,4,10n,,Y
C21,603,1,0.1u,,Y
C22,603,1,C,,
"C23, C24, C25",603,3,15p,,Y
"C27, C5, C7, C9",603,4,1u,,Y
C28,CP_Radial_D12.5mm_P5.00mm,1,C_Polarized,,Y=100n
C3,CAPC1608X90 100nF,1,100n,,Y
"D1, D2, D3",D_DO-35_SOD27_P7.62mm_Horizontal,3,1N4148,,Y
D4,TVS_LESD5D5.0CT1G,1,LESD5D5.0CT1G,,
J1,CONN_SM06B-GHS-TB_JST,1,Conn_01x08,,
J2,MR60PW-M,1,Conn_01x03_Pin,,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,,
J4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,,
J5,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Conn_01x02_Pin,,
L1,805,1,10u,,Y
"Q1, Q2, Q3, Q4, Q5, Q6",VSON-8_3.3x3.3mm_P0.65mm_NexFET,6,CSD18533Q5A,,Y
"R1, R2, R3, R4, R5, R6",603,6,5,,Y
"R12, R13, R17",1206,3,110k,,Y
"R14, R15, R16, R18, R19, R20, R8",603,7,10k,,Y
R21,603,1,20k,,Y
R22,603,1,150k,,Y
"R23, R24, R25",603,3,5.1k,,Y
R7,805,1,115k,,Y
"S3, U2, U4",SOIC8_D_TEX,3,UCC27301ADR,,Y
"TP1, TP4, TP5, TP6",TestPoint_Pad_D1.5mm,4,TestPoint,,
U1,SOP65P640X120-20N,1,STM32F030F4P6,,Y
U5,SOTFL50P160X60-8N,1,TPS62933DRLR,,Y
U9,SOIC127P600X175-14N,1,LM339D,,Y
