Designator,Mid X,Mid Y,Rotation,Layer
C1,144.8294,-84.1738,270.0,top
C10,145.813125,-58.33,0.0,top
C11,145.804125,-59.93,0.0,top
C12,155.854125,-66.005,270.0,top
C13,153.654125,-65.155,270.0,top
C14,151.468125,-68.23,0.0,top
C15,155.6,-50.175,180.0,top
C16,155.8,-51.875,180.0,top
C17,149.5,-51.6375,180.0,top
C18,149.65,-53.4875,180.0,top
C19,143.1561,-51.7689,180.0,top
C2,131.0,-82.325,270.0,top
C20,143.3561,-53.5311,180.0,top
C21,120.15,-75.275,270.0,top
C22,121.9,-75.225,270.0,top
C23,145.3999,-71.2,0.0,top
C24,145.4001,-67.6,0.0,top
C25,132.9001,-68.3,0.0,top
C26,146.5,-84.162375,270.0,top
C27,148.2,-84.200375,270.0,top
C28,130.85,-52.9,90.0,top
C3,143.2,-84.05,270.0,top
C4,171.22785,-81.4964,0.0,top
C5,152.80915,-80.367,90.0,top
C6,157.52065,-81.3302,0.0,top
C7,168.455025,-81.063,90.0,top
C8,184.05485,-81.598,0.0,top
C9,175.30915,-81.493,90.0,top
D1,150.50915,-85.03,90.0,top
D2,166.10915,-85.13,90.0,top
D3,177.78725,-85.2302,90.0,top
D4,118.35,-74.925,90.0,top
J1,118.5243,-84.725,270.0,top
J2,171.079125,-60.53,0.0,top
J3,131.0,-91.7,270.0,top
J4,127.7,-85.8,270.0,top
J5,118.95,-62.65,90.0,top
L1,151.054125,-65.73,180.0,top
Q1,160.884125,-68.67,180.0,top
Q2,168.669125,-68.52,180.0,top
Q3,164.799125,-68.54,0.0,top
Q4,172.521625,-68.52,0.0,top
Q5,176.524125,-68.57,180.0,top
Q6,180.526625,-68.57,0.0,top
R1,154.5,-80.675,270.0,top
R12,158.65,-52.0875,270.0,top
R13,152.5,-51.9375,270.0,top
R14,149.65,-49.8875,180.0,top
R15,155.8,-53.55,180.0,top
R16,149.575,-48.1875,180.0,top
R17,146.25,-52.0125,270.0,top
R18,155.725,-48.45,180.0,top
R19,143.3311,-49.9811,180.0,top
R2,163.23415,-81.28,180.0,top
R20,143.3561,-48.3311,180.0,top
R21,116.55,-75.275,270.0,top
R22,119.175,-72.775,0.0,top
R23,145.425,-69.4,180.0,top
R24,145.375,-65.8,180.0,top
R25,131.2497,-69.9542,0.0,top
R3,163.23415,-82.98,180.0,top
R4,173.755025,-81.075,270.0,top
R5,180.055025,-81.4,270.0,top
R6,183.754125,-69.155,270.0,top
R7,150.254125,-62.73,90.0,top
R8,152.054125,-60.93,90.0,top
S3,171.285,-85.535,0.0,top
U1,137.635025,-85.125,0.0,top
U2,157.6465,-85.1752,0.0,top
U4,184.2644,-85.5858,0.0,top
U5,154.504125,-62.195,270.0,top
U9,138.425,-67.23,180.0,top
